Nummer;Kurzbezeichnung;Langbezeichnung;SPT;Stellen
# GRUA-UNSPEZ.-PERIODEN:;;;;
506;RNDA;Restnutzungsdauer;NINT;3
507;KONS;Gebäudekonstruktion;KINT;2
508;AMAU;Aufbau der Außenmauern;KINT;1
509;FASS;Fassade;KINT;1
510;DACH;Dachform;KINT;1
511;VGES;Zahl der oberirdischen Vollgeschosse;NINT;2
514;GRFL;Gebäudegrundfläche;NINT;5
515;GEFL;Geschossfläche;NINT;5
516;WOFL;Wohnfläche;NINT;5
517;NUFL;Gewerbliche Nutzfläche;NINT;6
520;GEHO;Geschosshöhe;DEZ;2.1
521;URAU;Umbauter Raum;NINT;5
522;ZAWO;Zahl der Einheiten;NINT;4
523;LEER;Zahl der leerstehenden Wohnungen;NINT;3
524;GARI;Garagen im Gebäude;NINT;3
525;GARA;Garagen als Nebengebäude;NINT;3
526;STEA;Einstellplätze außerhalb des Gebäudes;NINT;3
532;AUSS;Außenanlagen;KINT;1
534;HEIZ;Beheizung;KINT;1
535;ENAR;Energieart;KINT;2
537;SBAD;Sanitäre Anlagen - Bäder -;KINT;1
538;TOIL;Sanitäre Anlagen - Toiletten -;KINT;1
539;QSAN;Qualität der sanitären Anlagen;KINT;1
540;FENS;Fenster;KINT;1
544;KUCH;Einbauküche;BOOL;1
545;KAMI;Kamin/Kachelofen;KINT;1
546;SAUN;Sauna;BOOL;1
547;SCHW;Schwimmbad;KINT;1
548;FAHR;Fahrstuhl;BOOL;1
549;STOC;Stockwerk;KINT;2
550;ZIMM;Zahl der Zimmer;NINT;1
551;BALK;Balkon/Terrasse;KINT;1
553;UMBP;Preis pro m3 umbauten Raumes (1913);DEZ;2.2
554;SACH;Sachwert;NINT;8
555;JMIE;Jahresnettokaltmiete;NINT;8
556;BRMI;Jahresbruttokaltmiete;NINT;8
557;GEMI;Gewerblicher Mietanteil;NINT;3
558;REIN;Jahresreinertrag;NINT;8
559;ERTR;Ertragswert;NINT;8
561;BGFL;Brutto-Grundfläche;NINT;7
562;NHKO;Normalherstellungskosten 2000;NINT;6
563;SW00;Sachwert 2000;NINT;9
564;REGI;Regionalfaktor;DEZ;1.1
565;BRIH;Brutto-Rauminhalt;NINT;7
566;ASTD;Ausstattungsstandard;KINT;1
567;GTYP;Gebäudetyp;KSTR;6
568;LIZI;Liegenschaftszins;DEZ;2.2
569;ROFA;Rohertragsfaktor;DEZ;2.2
570;WEAU;Wert der Außenanlagen;NINT;6
571;OPED;Optischer Eindruck;KINT;1
572;BAVE;Bauliche Veränderung;KSTR;48
573;BAUM;Baumängel / Bauschäden;KINT;1
574;CAPO;Carport;NINT;3
576;FOTO;Anzahl der Kauffallfotos;NINT;2
577;SW10;Sachwert;NINT;9
578;STST;Standardstufe;DEZ;1.1
579;KOWT;Normalherstellungskosten 2010;NINT;4
580;MODG;Modernisierungsgrad;NINT;2
581;DREM;Drempelhöhe;DEZ;1.1
582;BAUT;Besondere Bauteile;NINT;6 
583;KFGB;Korrekturfaktor Gebäudegeometrie;DEZ;2.1
591;BJMO;Modifiziertes Baujahr;NINT;4
592;ENSK;Sekundäre Energie;KINT;1
593;BJAT;Baujahr der Anlagentechnik;NINT;4
594;GT10;Gebäudetyp 2010;KSTR;6
595;GRBA;Grundriss/Barrierefreiheit;KINT;1
596;GBTX;Text zur Gebäudeart;KSTR;64
599;TAXO;Taxonomie der Wirtschaftsimmodbilien-;KINT;4
601;VART;Vertragsart;KINT;1
602;ERBB;Erbbauberechtigter;KINT;1
603;ERBG;Erbbaurechtsgeber;KINT;1
604;ERJA;Jahr des Erbbaurechtsvertrages;JINT;4
605;LAUF;Laufzeit des Erbbaurechtsvertrages;NINT;3
606;EZWE;Zweckbestimmung des Erbbaurechtsvertrages;KINT;1
607;VZIN;Erbbauzinsen nach Vertrag;DEZ;3.2
608;TZIN;Tatsächliche Erbbauzinsen;DEZ;3.2
609;ANPA;Anpassungsklausel;KINT;1
610;HEIM;Heimfallbestimmung;BOOL;1
611;ERBZ;Erbbauzins in Prozent;DEZ;2.2
612;JEAP;Jahr der Erbbauzinsanpassung;JINT;4
